"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"08/31/2025","IDA27770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002978","EMCBP","11800000","990077.79","0","9326675.88","10097267.08","0","0","0","0","0","0","0","03/01/2006","09/01/2035","11/10/1995","09/14/1995","02/14/1996","06/30/2001","01/08/2002"
"08/31/2025","IDA27980","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P035634","PRIV. SECTOR COMPETI","12300000","3421034.31","0","8058302","8805137.86","0","0","0","0","0","0","0","03/01/2006","09/01/2035","01/30/1996","12/14/1995","02/14/1996","12/31/2002","11/12/2003"
"08/31/2025","IDA28450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P037582","AG SEC MGT PROJECT","17900000","17900000","0","0","0","0","0","0","0","0","0","0","10/01/2006","04/01/2036","05/02/1996","04/16/1996","07/31/1997","12/31/2001",""
"08/31/2025","IDA29090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","673.03","673.03","0","0","0","0","0","0","0","0","0","0","09/01/2006","03/01/2036","09/10/1996","07/30/1996","03/05/1997","12/31/2005","04/02/2004"
"08/31/2025","IDA29091","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","4500000","489508.51","0","4737054.01","1428029.34","2986004.58","0","2986004.58","0","0","0","2986004.58","09/01/2012","03/01/2042","11/22/2002","07/09/2002","12/17/2003","12/31/2005","02/27/2007"
"08/31/2025","IDA2909A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","12099326.97","0","0","12040982.21","12347061.19","0","0","0","0","0","0","0","09/01/2006","03/01/2036","09/10/1996","07/30/1996","03/05/1997","12/31/2005",""
"08/31/2025","IDA29870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P049543","UG-Road Sec & Inst Supt (FY98)","14894304.35","666980.78","0.01","14227323.5721","7294005.38","7003243.67","0","7003243.67","0","0","0","7003243.68","03/01/2008","09/01/2037","03/09/1998","09/09/1997","08/27/1998","12/31/2007","09/25/2008"
"08/31/2025","IDA2987A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P049543","UG-Road Sec & Inst Supt (FY98)","15105695.65","0","0","15591216.88","15987542","0","0","0","0","0","0","0","03/01/2008","09/01/2037","03/09/1998","09/09/1997","08/27/1998","12/31/2007",""
"08/31/2025","IDA30490","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002972","UG EDUC SECTOR ADJ CRED","80000000","0","0","78045136","87022224","0","0","0","0","0","0","0","09/15/2008","03/15/2038","04/15/1998","03/24/1998","06/12/1998","12/31/2000","09/21/2000"
"08/31/2025","IDA30520","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P040551","UG-Child Nutrition Dev SIL (FY98)","197513.64","28470.38","0","169043.2644","84784.11","88310.48","0","88310.48","0","0","0","88310.48","09/15/2008","03/15/2038","04/15/1998","03/24/1998","11/13/1998","06/30/2005","11/05/2008"
"08/31/2025","IDA3052A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P040551","UG-Child Nutrition Dev SIL (FY98)","33802486.36","0","0","35581590.75","36535765.35","0","0","0","0","0","0","0","09/15/2008","03/15/2038","04/15/1998","03/24/1998","11/13/1998","06/30/2005",""
"08/31/2025","IDA30640","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P057007","UG EL NINO EMERG RD REP","22096472.16","21276132.59","0","820339.5727","414672.34","433664.08","0","433664.08","0","0","0","433664.08","09/01/2008","03/01/2038","05/14/1998","05/07/1998","07/13/1998","01/31/2004","08/05/2004"
"08/31/2025","IDA3064A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P057007","UG EL NINO EMERG RD REP","5503527.84","0","0","5859934.1","6008892.27","0","0","0","0","0","0","0","09/01/2008","03/01/2038","05/14/1998","05/07/1998","07/13/1998","01/31/2004",""
"08/31/2025","IDA31150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002941","ICB-PAMSU","12370000","28661.7","0","12026973.01","13345732.68","0","0","0","0","0","0","0","09/01/2008","03/01/2038","10/21/1998","07/09/1998","03/25/1999","12/31/2002","05/13/2003"
"08/31/2025","IDA32030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059223","UG-Nakivubo Channel Rehab SIl (FY99)","5922343.43","593442","0.01","5328901.4337","2445932.96","3011223.65","0","3011223.65","0","0","0","3011223.66","09/01/2009","03/01/2039","06/17/1999","05/06/1999","11/30/1999","06/30/2004","03/01/2005"
"08/31/2025","IDA3203A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P059223","UG-Nakivubo Channel Rehab SIl (FY99)","16457656.57","0","0","17393967.07","17836117.67","0","0","0","0","0","0","0","09/01/2009","03/01/2039","06/17/1999","05/06/1999","11/30/1999","06/30/2004",""
"08/31/2025","IDA32040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","14346317.91","626.79","0","14345691.1194","6552952.44","8077157.49","0","8077157.49","0","0","0","8077157.49","11/01/2009","05/01/2039","06/02/1999","05/06/1999","12/02/1999","06/30/2009","06/18/2009"
"08/31/2025","IDA32041","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","12000000","340738.68","0","11778214.05","1702536.76","8936105.56","0","8936105.56","0","0","0","8936105.56","11/01/2017","05/01/2047","02/20/2008","08/02/2007","05/15/2008","06/30/2009","12/02/2009"
"08/31/2025","IDA3204A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","11653682.09","0","0","12526931.03","12584375.17","0","0","0","0","0","0","0","11/01/2009","05/01/2039","06/02/1999","05/06/1999","12/02/1999","06/30/2007",""
"08/31/2025","IDA32270","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P044213","FIN MKTS ASSISTANCE","13000000","13000000","0","0","0","0","0","0","0","0","0","0","09/01/2009","03/01/2039","07/06/1999","05/27/1999","03/31/2001","09/30/2003",""
"08/31/2025","IDA32670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002970","UG-Roads Dev APL (FY99)","55826161.16","6717.75","0","55819443.4107","25668311.25","31599928.49","0","31599928.49","0","0","0","31599928.49","09/01/2009","03/01/2039","11/22/1999","06/29/1999","02/01/2000","06/30/2008","11/17/2008"
"08/31/2025","IDA3267A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002970","UG-Roads Dev APL (FY99)","35153838.84","0","0","37222272.48","38168454.01","0","0","0","0","0","0","0","09/01/2009","03/01/2039","11/22/1999","06/29/1999","02/01/2000","12/31/2006",""
"08/31/2025","IDA32950","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002992","UG-Loc Govt Dev Prgm SIL (FY00)","15264731.79","4617840.06","0","10646891.7335","4582172.94","6132404.63","0","6132404.63","0","0","0","6132404.63","03/01/2010","09/01/2039","12/22/1999","11/30/1999","06/30/2000","06/30/2004","12/21/2004"
"08/31/2025","IDA3295A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002992","UG-Loc Govt Dev Prgm SIL (FY00)","65635268.21","0","0","68270585.89","70006008.35","0","0","0","0","0","0","0","03/01/2010","09/01/2039","12/22/1999","11/30/1999","06/30/2000","06/30/2004",""
"08/31/2025","IDA32970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","16726568.46","15405.17","0","16711163.2928","7192403.07","9625690.07","0","9625690.07","0","0","0","9625690.07","03/01/2010","09/01/2039","12/22/1999","11/30/1999","08/01/2000","12/31/2006","07/10/2007"
"08/31/2025","IDA32971","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","14600000","9006.91","0","15545855.06","3777406.19","10627780.34","0","10627780.34","0","0","0","10627780.34","03/01/2014","09/01/2043","11/25/2003","11/04/2003","06/17/2004","12/31/2006","07/06/2007"
"08/31/2025","IDA3297A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","17313431.54","0","0","18009321.12","18467113.88","0","0","0","0","0","0","0","03/01/2010","09/01/2039","12/22/1999","11/30/1999","08/01/2000","12/31/2006",""
"08/31/2025","IDA34110","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P050439","UG-Priv & Utility Sec Reform (FY01)","32714184.43","18397492.33","-0.01","14316692.1037","6421347.8","8436651.17","0","8436651.17","0","0","0","8436651.16","10/01/2010","04/01/2040","12/18/2000","08/24/2000","01/31/2001","03/30/2014","06/30/2006"
"08/31/2025","IDA3411A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P050439","UG-Priv & Utility Sec Reform (FY01)","15785815.57","0","0","16941091.86","17319778.28","0","0","0","0","0","0","0","10/01/2010","04/01/2040","12/18/2000","08/24/2000","01/31/2001","03/31/2013",""
"08/31/2025","IDA34590","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P072482","UG-HIV/AIDS Control SIL (FY01)","29973186.73","296921.25","-0.01","29676265.4779","12422690.15","19774514.64","0","19774514.64","0","0","0","19774514.63","04/01/2011","10/01/2040","02/15/2001","01/18/2001","05/14/2001","12/31/2006","06/26/2007"
"08/31/2025","IDA3459A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P072482","UG-HIV/AIDS Control SIL (FY01)","17526813.27","0","0","19789085.41","20231433.39","0","0","0","0","0","0","0","04/01/2011","10/01/2040","02/15/2001","01/18/2001","05/14/2001","12/31/2006",""
"08/31/2025","IDA34630","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044695","UG-Nat Agr Advisory Srvcs SIL (FY01)","43792205.66","416099.89","0","43376105.7662","18149955.66","28863399.66","0","28863399.66","0","0","0","28863399.66","06/15/2011","12/15/2040","05/07/2001","02/15/2001","11/27/2001","12/31/2009","03/04/2014"
"08/31/2025","IDA3463A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P044695","UG-Nat Agr Advisory Srvcs SIL (FY01)","1207794.34","0","0","1397191.44","1392719.49","0","0","0","0","0","0","0","06/15/2011","12/15/2040","05/07/2001","02/15/2001","11/27/2001","06/30/2008",""
"08/31/2025","IDA34770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P073089","UG-EMCBP SIL 2 (FY01)","13521702.35","53809.93","0","13467892.4214","5583112.6","8881786.46","0","8881786.46","0","0","0","8881786.46","08/01/2011","02/01/2041","05/07/2001","03/20/2001","06/25/2001","11/30/2011","04/18/2012"
"08/31/2025","IDA3477A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P073089","UG-EMCBP SIL 2 (FY01)","8478297.65","0","0","9513317.06","9687028.13","0","0","0","0","0","0","0","08/01/2011","02/01/2041","05/07/2001","03/20/2001","06/25/2001","12/31/2006",""
"08/31/2025","IDA34890","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P070627","Regional Trade Fac. - Uganda","14686715.29","0","0","14686715.29","5739864.97","9970009.76","0","9970009.76","0","0","0","9970009.76","09/15/2011","03/15/2041","08/06/2001","04/03/2001","02/07/2002","06/30/2013","01/24/2012"
"08/31/2025","IDA3489A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P070627","Regional Trade Fac. - Uganda","5313284.71","0","0","5894953.9","6053036.07","0","0","0","0","0","0","0","09/15/2011","03/15/2041","08/06/2001","04/03/2001","02/07/2002","06/30/2011",""
"08/31/2025","IDA35100","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P050438","UG-PRSC 1 (FY01)","150000000","0","0","147659988","170810514","0","0","0","0","0","0","0","10/15/2011","04/15/2041","07/05/2001","05/31/2001","11/29/2001","03/31/2002","12/19/2001"
"08/31/2025","IDA35440","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P065436","UG-Road Dev Phase 2 APL (FY02)","61468921.52","9528.58","0","61459392.9427","24450457.88","42469866.13","0","42469866.13","0","0","0","42469866.13","09/15/2011","03/15/2041","08/16/2001","07/03/2001","04/11/2002","06/30/2008","12/01/2008"
"08/31/2025","IDA3544A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P065436","UG-Road Dev Phase 2 APL (FY02)","3051078.48","0","0","3445818.71","3538223.6","0","0","0","0","0","0","0","09/15/2011","03/15/2041","08/16/2001","07/03/2001","04/11/2002","06/30/2006",""
"08/31/2025","IDA35450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002984","UG-Power SIL 4  (FY02)","51795445.57","80763.83","0","51714681.735","20160604.32","35069744.88","0","35069744.88","0","0","0","35069744.88","10/15/2011","04/15/2041","08/29/2001","07/03/2001","04/04/2002","03/31/2008","10/07/2008"
"08/31/2025","IDA3545A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002984","UG-Power SIL 4  (FY02)","10204554.43","0","0","11408665.51","11613204.28","0","0","0","0","0","0","0","10/15/2011","04/15/2041","08/29/2001","07/03/2001","04/04/2002","12/31/2006",""
"08/31/2025","IDA35880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P069996","UG-Energy for Rural Transform (FY02)","47810042.95","1355354.01","0.01","46454688.9408","17146820.61","32699263.79","0","32699263.79","0","0","0","32699263.8","04/15/2012","10/15/2041","12/20/2001","12/13/2001","07/30/2002","02/28/2009","10/29/2009"
"08/31/2025","IDA3588A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P069996","UG-Energy for Rural Transform (FY02)","1339957.05","0","0","1507847.37","1534880.61","0","0","0","0","0","0","0","04/15/2012","10/15/2041","12/20/2001","12/13/2001","07/30/2002","08/31/2008",""
"08/31/2025","IDA36240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P074078","UG-Makerere Pil Decentr Srvc Del (FY02)","3819850.39","0","0","3819850.39","1446724.62","2760384.07","0","2760384.07","0","0","0","2760384.07","04/01/2012","10/01/2041","04/10/2002","03/26/2002","09/26/2002","12/31/2006","05/31/2007"
"08/31/2025","IDA3624A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P074078","UG-Makerere Pil Decentr Srvc Del (FY02)","1180149.61","0","0","1357483.61","1387827.62","0","0","0","0","0","0","0","04/01/2012","10/01/2041","04/10/2002","03/26/2002","09/26/2002","12/31/2006",""
"08/31/2025","IDA36900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P065437","UG-PAMSU SIL (FY03)","21463161.36","0","0","21463161.36","7668690.99","16054167.97","0","16054167.97","0","0","0","16054167.97","10/15/2012","04/15/2042","09/16/2002","07/09/2002","12/04/2002","03/31/2011","03/29/2011"
"08/31/2025","IDA3690A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P065437","UG-PAMSU SIL (FY03)","5536838.64","0","0","6426123.83","6541333.75","0","0","0","0","0","0","0","10/15/2012","04/15/2042","09/16/2002","07/09/2002","12/04/2002","12/31/2007",""
"08/31/2025","IDA36960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P073671","UG-PRSC II","150000000","0","0","169395226.27","176690394","0","0","0","0","0","0","0","12/15/2012","06/15/2042","08/07/2002","07/23/2002","03/12/2003","06/30/2003","06/23/2003"
"08/31/2025","IDA36970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002952","UG-N Uganda Soc Action Fund (FY03)","95373978.05","508644.76","0","94865333.2935","33752271.14","70715757.47","0","70715757.47","0","0","0","70715757.47","10/01/2012","04/01/2042","08/07/2002","07/23/2002","02/05/2003","03/31/2009","04/12/2012"
"08/31/2025","IDA3697A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002952","UG-N Uganda Soc Action Fund (FY03)","4626021.95","0","0","5327797.94","5446890.9","0","0","0","0","0","0","0","10/01/2012","04/01/2042","08/07/2002","07/23/2002","02/05/2003","03/31/2008",""
"08/31/2025","IDA37730","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P077477","UG-Loc Gov Dev 2 (FY03)","45379546.78","502.26","0.01","45379044.5184","12917099.96","32822611.66","0","32822611.66","0","0","0","32822611.67","10/15/2013","04/15/2043","06/20/2003","05/29/2003","10/29/2003","12/31/2007","12/18/2008"
"08/31/2025","IDA3773A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P077477","UG-Loc Gov Dev 2 (FY03)","4620453.22","0","0","4897471.19","4985274.87","0","0","0","0","0","0","0","10/15/2013","04/15/2043","06/20/2003","05/29/2003","10/29/2003","06/30/2007",""
"08/31/2025","IDA38350","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P079925","UG-Natl Re Dev TAL (FY04)","25000000","206374","0","27019329.65","6802755.38","17297965.66","0","17297965.66","0","0","0","17297965.66","12/15/2013","06/15/2043","01/20/2004","12/09/2003","08/17/2004","12/31/2011","08/29/2013"
"08/31/2025","IDA39750","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P083809","UG-Priv Sec Competitiveness 2","70000000","21792210.31","0","50706510.28","10895936.62","34312906.99","0","34312906.99","0","0","0","34312906.99","02/01/2015","08/01/2044","02/23/2005","09/02/2004","06/22/2005","02/28/2013","03/05/2014"
"08/31/2025","IDA39760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P074079","UG-Road Dev APL 3 (FY05)","67600000","3769.76","0","72562771.84","15220372.54","47813783.01","0","47813783.01","0","0","0","47813783.01","09/15/2014","03/15/2044","02/23/2005","09/02/2004","06/23/2005","10/31/2011","03/28/2012"
"08/31/2025","IDA41420","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P090881","UG- PRSC 5","22500000","0","0","22788100","4055804.4","17183275.2","0","17183275.2","0","0","0","17183275.2","03/15/2016","09/15/2045","03/21/2006","01/17/2006","05/24/2006","11/30/2006","06/28/2006"
"08/31/2025","IDA41470","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P079734","E Afr Trade & Transp Facil (FY06)","26400000","779296.74","0","26544399.08","4869584.27","19333223.41","0","19333223.41","0","0","0","19333223.41","02/15/2016","08/15/2045","04/07/2006","01/24/2006","04/02/2007","09/30/2015","04/19/2016"
"08/31/2025","IDA41740","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P086513","UG-Millennium Science Init (FY06)","30000000","1947.69","0","32156299.15","5177166.54","23454229.52","0","23454229.52","0","0","0","23454229.52","09/15/2016","03/15/2046","08/11/2006","05/25/2006","03/02/2007","06/30/2013","12/27/2013"
"08/31/2025","IDA41990","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P050440","UG-Pub Serv Perform Enhance (FY06)","70000000","50641736.02","0","20662504.48","3336348.32","15114730.52","0","15114730.52","0","0","0","15114730.52","09/15/2016","03/15/2046","12/18/2006","06/20/2006","11/19/2008","06/30/2014","12/30/2014"
"08/31/2025","IDA42960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P090219","UG-PRSC 6 DPL (FY07)","125000000","0","0","126128695","18334590.37","95766478.08","0","95766478.08","0","0","0","95766478.08","09/01/2017","03/01/2047","05/28/2007","04/26/2007","06/14/2007","11/30/2008","06/28/2007"
"08/31/2025","IDA42970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P069208","UG - Power Sector Dev. Project (FY07)","300000000","100960.85","0","306411467.14","46640240.31","227004222.13","0","227004222.13","0","0","0","227004222.13","06/15/2017","12/15/2046","05/28/2007","04/26/2007","06/28/2007","07/31/2011","03/13/2012"
"08/31/2025","IDA43670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P078382","UG-Kampala Inst & Infrast Dev Prj (FY08)","33600000","6390.28","0","33770611.96","4833723.54","25287656.88","0","25287656.88","0","0","0","25287656.88","02/15/2018","08/15/2047","02/20/2008","11/06/2007","11/19/2008","12/31/2013","06/12/2014"
